Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg C),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg C),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Total Fuel Flow (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg C),Thermocouple 2 (deg C),Thermocouple 3 (deg C),Thermocouple 4 (deg C),CHT 4 (deg C),EGT 4 (deg C),CHT 3 (deg C),EGT 3 (deg C),CHT 2 (deg C),EGT 2 (deg C),CHT 1 (deg C),EGT 1 (deg C),Thermocouple 13 (deg C),Thermocouple 14 (deg C),ELEV POSITION (%),CO PPM PRESSURE (PSI),GP Input 3,FUEL PRESSURE (PSI),AILERN POSITION (%),CANOPY CONTACT (V),GP Input 7,GP Input 8,LEFT LEVEL (Sensor V),RIGHT LEVEL (Sensor V),OIL PRESSURE (PSI),OIL TEMPERATURE (deg C),GP Input 13,Contacts,Percent Power,EGT Leaning State,Unnamed: 103,OAT (deg F),Oil Temp (deg F),Thermocouple 1 (deg F),Thermocouple 2 (deg F),Thermocouple 3 (deg F),Thermocouple 4 (deg F),CHT 4 (deg F),EGT 4 (deg F),CHT 3 (deg F),EGT 3 (deg F),CHT 2 (deg F),EGT 2 (deg F),CHT 1 (deg F),EGT 1 (deg F),Thermocouple 13 (deg F),Thermocouple 14 (deg F),OIL TEMPERATURE (deg F),RPM,AVG_CHT,CHT_Delta_T,OIL_Delta_T,Fuel Flow Integral,Distance Traveled,MPG,CAS (knots),Corrected TAS (knots),Max CHT,Engine Run,Flight ID
8.06,1,7,2026-09-05 23:12:16,37.08168,-121.59962,389.0,0.0,167.5,-12.6,0.0,0.0,0.0,0.0,0.0,10.6,-1.6,28.4,0.0,313.0,0.1,-0.02,1.0,99.0,-12.0,29.0,0.0,29.98,2099.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,29.9,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0,-0.1,40.5,35.3,0.0,0.0,0.0,0.0,35.0,31.0,35.0,32.0,34.0,32.0,34.0,32.0,0.0,0.0,-4.0,254.3,0.0,0.0,5.0,4.998,0.0,0.0,1.576,1.505,0.0,33.4,0.0,0.0,0.0,,0.0,84.2,91.4,0.0,0.0,0.0,0.0,95.0,87.8,95.0,89.6,93.2,89.6,93.2,89.6,0.0,0.0,92.11999999999999,0.0,94.1,9.899999999999991,7.9199999999999875,0.0,0.0,0.0,0.48,0.49,372.2,True,2026-09-05 16:12:16-07:00
9.06,1,7,2026-09-05 23:12:17,37.08168,-121.59964,329.0,0.0,167.5,-12.6,0.0,0.0,0.0,0.0,0.0,10.7,-1.6,28.3,0.0,313.0,0.0,-0.02,1.0,99.0,22.0,29.0,0.0,29.98,2099.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,29.9,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0,-0.1,40.5,35.3,0.0,0.0,0.0,0.0,35.0,31.0,35.0,32.0,34.0,32.0,34.0,32.0,0.0,0.0,-3.0,254.3,0.0,0.0,5.0,4.998,0.0,0.0,1.576,1.505,0.0,33.4,0.0,0.0,0.0,,0.0,84.2,91.4,0.0,0.0,0.0,0.0,95.0,87.8,95.0,89.6,93.2,89.6,93.2,89.6,0.0,0.0,92.11999999999999,0.0,94.1,9.899999999999991,7.9199999999999875,0.0,0.0,0.0,0.48,0.49,372.2,True,2026-09-05 16:12:16-07:00
10.06,1,9,2026-09-05 23:12:18,37.08168,-121.59964,313.0,0.0,167.5,-12.6,0.0,0.0,0.0,0.0,0.0,10.6,-1.6,28.3,0.0,313.0,0.0,-0.03,1.0,99.0,25.0,29.0,0.0,29.98,2099.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,29.9,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0,-0.1,40.5,35.3,0.0,0.0,0.0,0.0,35.0,31.0,35.0,32.0,34.0,32.0,34.0,32.0,0.0,0.0,-3.0,254.3,0.0,0.0,5.0,4.998,0.0,0.0,1.576,1.505,0.0,33.3,0.0,0.0,0.0,,0.0,84.2,91.4,0.0,0.0,0.0,0.0,95.0,87.8,95.0,89.6,93.2,89.6,93.2,89.6,0.0,0.0,91.94,0.0,94.1,9.899999999999991,7.739999999999995,0.0,0.0,0.0,0.48,0.49,372.2,True,2026-09-05 16:12:16-07:00
11.06,1,10,2026-09-05 23:12:19,37.08152,-121.59956,393.0,0.0,167.5,-12.6,0.0,0.0,0.0,0.0,0.0,10.6,-1.6,28.3,0.0,313.0,0.1,-0.03,1.0,99.0,30.0,29.0,0.0,29.98,2099.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,29.9,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0,-0.1,40.5,35.3,0.0,0.0,0.0,0.0,35.0,31.0,35.0,32.0,34.0,32.0,34.0,32.0,0.0,0.0,-3.0,254.1,0.0,0.0,5.0,4.998,0.0,0.0,1.576,1.505,0.0,33.3,0.0,0.0,0.0,,0.0,84.2,91.4,0.0,0.0,0.0,0.0,95.0,87.8,95.0,89.6,93.2,89.6,93.2,89.6,0.0,0.0,91.94,0.0,94.1,9.899999999999991,7.739999999999995,0.0,0.0,0.0,0.48,0.49,372.2,True,2026-09-05 16:12:16-07:00
12.06,1,10,2026-09-05 23:12:20,37.08152,-121.59956,393.0,0.0,167.5,-12.6,0.0,0.0,0.0,0.0,0.0,10.6,-1.6,28.3,0.0,313.0,0.1,-0.03,1.0,99.0,-2.0,29.0,0.0,29.98,2100.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,29.9,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0,-0.1,40.5,35.3,0.0,0.0,0.0,0.0,35.0,31.0,35.0,32.0,34.0,32.0,34.0,32.0,0.0,0.0,-3.0,254.1,0.0,0.0,5.0,4.998,0.0,0.0,1.576,1.505,0.0,33.3,0.0,0.0,0.0,,0.0,84.2,91.4,0.0,0.0,0.0,0.0,95.0,87.8,95.0,89.6,93.2,89.6,93.2,89.6,0.0,0.0,91.94,0.0,94.1,9.899999999999991,7.739999999999995,0.0,0.0,0.0,0.48,0.49,372.2,True,2026-09-05 16:12:16-07:00
13.06,1,10,2026-09-05 23:12:21,37.08152,-121.59956,392.0,0.0,167.5,-12.6,0.0,0.0,0.0,0.0,0.0,10.6,-1.5,28.4,0.0,313.0,0.1,-0.03,0.9,99.0,-8.0,30.0,0.0,29.98,2100.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,29.9,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0,-0.1,40.5,35.3,0.0,0.0,0.0,0.0,35.0,31.0,35.0,32.0,34.0,32.0,34.0,32.0,0.0,0.0,-2.0,254.1,0.0,0.0,5.0,4.998,0.0,0.0,1.576,1.505,0.0,33.3,0.0,0.0,0.0,,0.0,86.0,91.4,0.0,0.0,0.0,0.0,95.0,87.8,95.0,89.6,93.2,89.6,93.2,89.6,0.0,0.0,91.94,0.0,94.1,8.099999999999994,5.939999999999998,0.0,0.0,0.0,0.48,0.5,372.2,True,2026-09-05 16:12:16-07:00
14.06,1,10,2026-09-05 23:12:22,37.08152,-121.59956,390.0,0.0,167.5,-12.6,0.0,0.0,0.0,0.0,0.0,10.5,-1.5,28.4,0.0,313.0,0.1,-0.03,1.0,99.0,-13.0,30.0,0.0,29.98,2100.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,29.9,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0,-0.1,40.5,35.3,0.0,0.0,0.0,0.0,35.0,31.0,35.0,32.0,34.0,32.0,34.0,32.0,0.0,0.0,-3.0,254.1,0.0,0.0,5.0,4.998,0.0,0.0,1.576,1.505,0.0,33.3,0.0,0.0,0.0,,0.0,86.0,91.4,0.0,0.0,0.0,0.0,95.0,87.8,95.0,89.6,93.2,89.6,93.2,89.6,0.0,0.0,91.94,0.0,94.1,8.099999999999994,5.939999999999998,0.0,0.0,0.0,0.48,0.5,372.2,True,2026-09-05 16:12:16-07:00
15.06,1,10,2026-09-05 23:12:23,37.08152,-121.59957,388.0,0.0,167.5,-12.6,0.0,0.0,0.0,0.0,0.0,10.5,-1.5,28.5,0.0,312.0,0.0,-0.03,1.0,99.0,-12.0,30.0,0.0,29.98,2110.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,29.9,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0,-0.1,40.5,35.3,0.0,0.0,0.0,0.0,35.0,31.0,35.0,32.0,34.0,32.0,34.0,32.0,0.0,0.0,-2.0,254.1,0.0,0.0,5.0,4.998,0.0,0.0,1.576,1.505,0.0,33.3,0.0,0.0,0.0,,0.0,86.0,91.4,0.0,0.0,0.0,0.0,95.0,87.8,95.0,89.6,93.2,89.6,93.2,89.6,0.0,0.0,91.94,0.0,94.1,8.099999999999994,5.939999999999998,0.0,0.0,0.0,0.48,0.5,372.2,True,2026-09-05 16:12:16-07:00
16.06,1,10,2026-09-05 23:12:24,37.08153,-121.59958,384.0,0.1,167.5,-12.6,0.0,0.0,0.0,0.0,0.0,10.5,-1.5,28.5,0.0,312.0,0.0,-0.03,1.0,99.0,-34.0,30.0,0.0,29.98,2110.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,29.9,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0,-0.1,40.5,35.3,0.0,0.0,0.0,0.0,35.0,31.0,35.0,32.0,34.0,32.0,34.0,32.0,0.0,0.0,-2.0,254.1,0.0,0.0,5.0,4.998,0.0,0.0,1.576,1.506,0.0,33.3,0.0,0.0,0.0,,0.0,86.0,91.4,0.0,0.0,0.0,0.0,95.0,87.8,95.0,89.6,93.2,89.6,93.2,89.6,0.0,0.0,91.94,0.0,94.1,8.099999999999994,5.939999999999998,0.0,0.08433333333333318,0.0,0.48,0.5,372.2,True,2026-09-05 16:12:16-07:00
17.06,1,10,2026-09-05 23:12:25,37.08154,-121.59958,382.0,0.0,167.5,-12.6,0.0,0.0,0.0,0.0,0.0,10.5,-1.5,28.5,0.0,310.0,0.1,-0.03,1.0,99.0,-70.0,30.0,0.0,29.98,2110.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,29.9,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0,-0.1,40.5,35.3,0.0,0.0,0.0,0.0,35.0,31.0,35.0,32.0,34.0,32.0,34.0,32.0,0.0,0.0,-3.0,254.1,0.0,0.0,5.0,4.998,0.0,0.0,1.576,1.505,0.0,33.3,0.0,0.0,0.0,,0.0,86.0,91.4,0.0,0.0,0.0,0.0,95.0,87.8,95.0,89.6,93.2,89.6,93.2,89.6,0.0,0.0,91.94,0.0,94.1,8.099999999999994,5.939999999999998,0.0,0.16866666666666652,0.0,0.48,0.5,372.2,True,2026-09-05 16:12:16-07:00
