Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg C),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg C),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Total Fuel Flow (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg C),Thermocouple 2 (deg C),Thermocouple 3 (deg C),Thermocouple 4 (deg C),CHT 4 (deg C),EGT 4 (deg C),CHT 3 (deg C),EGT 3 (deg C),CHT 2 (deg C),EGT 2 (deg C),CHT 1 (deg C),EGT 1 (deg C),Thermocouple 13 (deg C),Thermocouple 14 (deg C),ELEV POSITION (%),CO PPM PRESSURE (PSI),GP Input 3,FUEL PRESSURE (PSI),AILERN POSITION (%),CANOPY CONTACT (V),GP Input 7,GP Input 8,LEFT LEVEL (Sensor V),RIGHT LEVEL (Sensor V),OIL PRESSURE (PSI),OIL TEMPERATURE (deg C),GP Input 13,Contacts,Percent Power,EGT Leaning State,Unnamed: 103,RPM,Flight ID
3.06,1.0,10.0,2026-03-18 23:39:18,36.88887,-121.40333,311.0,0.0,329.7,-12.5,,,,,23:39:18,11.2,-0.6,114.5,0.0,167.0,-0.0,-0.01,1.0,,-15.0,40.0,0.0,30.0,3230.0,,,305.0,,125.0,-700.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.4,,0.4,,,,14.7,0.0,0.0,-0.4,7.3,5.6,,,,,131.0,95.0,136.0,104.0,135.0,101.0,131.0,101.0,,,11.0,253.9,,8.2,35.0,4.993,,,0.653,0.731,0.0,93.9,,,,,,0.0,2026-03-18 16:39:18-07:00
4.06,1.0,10.0,2026-03-18 23:39:19,36.88889,-121.40333,261.0,0.0,329.7,-12.5,,,,,23:39:19,11.1,-0.6,114.4,0.0,167.0,-0.0,-0.01,1.0,,16.0,40.0,0.0,30.0,3236.0,,,305.0,,125.0,-700.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.3,,0.3,,,,14.7,0.0,0.0,-0.4,7.3,5.6,,,,,131.0,94.0,136.0,104.0,135.0,100.0,131.0,100.0,,,11.0,253.9,,8.2,35.0,4.993,,,0.653,0.731,0.0,93.9,,,,,,0.0,2026-03-18 16:39:18-07:00
5.06,1.0,10.0,2026-03-18 23:39:20,36.88888,-121.40333,261.0,0.0,329.7,-12.5,,,,,23:39:20,11.1,-0.6,114.5,0.0,167.0,-0.0,-0.01,1.0,99.0,-19.0,40.0,0.0,30.0,3236.0,,,305.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,94.0,0.0,0.0,30.2,0.3,,0.3,8.2,,,14.7,0.0,0.0,-0.4,7.3,5.6,,,,,131.0,94.0,136.0,104.0,135.0,100.0,131.0,100.0,,,11.0,253.9,,8.2,35.0,4.993,,,0.653,0.731,0.0,93.9,,,,,,0.0,2026-03-18 16:39:18-07:00
6.06,1.0,10.0,2026-03-18 23:39:21,36.88888,-121.40333,262.0,0.1,329.7,-12.5,,,,,23:39:21,11.2,-0.6,114.4,0.0,167.0,-0.1,-0.01,1.0,99.0,-6.0,41.0,0.0,30.0,3236.0,,,305.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,94.0,0.0,0.0,30.2,0.4,,0.4,8.2,,,14.7,0.0,0.0,-0.4,7.3,5.6,,,,,131.0,94.0,136.0,104.0,135.0,100.0,131.0,100.0,,,11.0,253.9,,8.2,35.0,4.993,,,0.653,0.731,0.0,93.9,,,,,,0.0,2026-03-18 16:39:18-07:00
7.06,1.0,10.0,2026-03-18 23:39:22,36.88888,-121.40333,262.0,0.0,329.7,-12.5,,,,,23:39:22,11.2,-0.6,114.5,0.0,167.0,-0.1,-0.01,1.0,99.0,-13.0,41.0,0.0,30.0,3239.0,,,305.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,94.0,0.0,0.0,30.2,0.4,,0.4,8.2,,,14.7,0.0,0.0,-0.4,7.3,5.6,,,,,131.0,94.0,136.0,104.0,135.0,100.0,131.0,100.0,,,11.0,253.9,,8.2,35.0,4.993,,,0.653,0.731,0.0,93.9,,,,,,0.0,2026-03-18 16:39:18-07:00
8.06,1.0,10.0,2026-03-18 23:39:23,36.88888,-121.40333,263.0,0.0,329.7,-12.5,,,,,23:39:23,11.2,-0.6,114.4,0.0,166.0,-0.0,-0.01,1.0,99.0,-18.0,41.0,0.0,30.0,3235.0,,,305.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,94.0,0.0,0.0,30.2,0.3,,0.3,8.2,,,14.7,0.0,0.0,-0.4,7.3,5.6,,,,,131.0,94.0,136.0,104.0,135.0,100.0,131.0,100.0,,,11.0,253.9,,8.2,35.0,4.993,,,0.653,0.731,0.0,93.9,,,,,,0.0,2026-03-18 16:39:18-07:00
9.06,1.0,10.0,2026-03-18 23:39:24,36.88888,-121.40333,263.0,0.0,329.7,-12.5,,,,,23:39:24,11.2,-0.6,114.4,0.0,165.0,-0.0,-0.01,1.0,99.0,-15.0,41.0,0.0,30.0,3235.0,,,305.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,94.0,0.0,0.0,30.2,0.3,,0.3,8.2,,,14.7,0.0,0.0,-0.5,7.3,5.6,,,,,131.0,94.0,136.0,104.0,135.0,100.0,131.0,100.0,,,11.0,253.9,,8.2,35.0,4.993,,,0.653,0.731,0.0,93.9,,,,,,0.0,2026-03-18 16:39:18-07:00
10.06,1.0,10.0,2026-03-18 23:39:25,36.88888,-121.40332,263.0,0.0,329.7,-12.5,,,,,23:39:25,11.2,-0.7,114.4,0.0,164.0,-0.1,-0.01,1.0,99.0,-51.0,41.0,0.0,30.0,3234.0,,,305.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,94.0,0.0,0.0,30.2,0.3,,0.3,8.2,,,14.7,0.0,0.0,-0.5,7.3,5.6,,,,,131.0,94.0,136.0,104.0,135.0,100.0,131.0,100.0,,,11.0,253.9,,8.2,35.0,4.993,,,0.653,0.731,0.0,93.9,,,,,,0.0,2026-03-18 16:39:18-07:00
11.06,1.0,10.0,2026-03-18 23:39:26,36.88888,-121.40332,264.0,0.0,329.7,-12.5,,,,,23:39:26,11.2,-0.7,114.4,0.0,163.0,-0.1,-0.01,1.0,99.0,-45.0,41.0,0.0,30.0,3234.0,,,305.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,94.0,0.0,0.0,30.2,0.3,,0.3,8.2,,,14.7,0.0,0.0,-0.5,7.3,5.6,,,,,131.0,94.0,136.0,104.0,134.0,100.0,131.0,100.0,,,11.0,253.8,,8.2,35.0,4.993,,,0.653,0.731,0.0,93.9,,,,,,0.0,2026-03-18 16:39:18-07:00
12.06,1.0,10.0,2026-03-18 23:39:27,36.88888,-121.40332,264.0,0.0,329.7,-12.5,,,,,23:39:27,11.2,-0.6,114.4,0.0,162.0,-0.1,-0.01,1.0,99.0,-75.0,41.0,0.0,30.0,3234.0,,,305.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,94.0,0.0,0.0,30.2,0.3,,0.3,8.2,,,14.7,0.0,0.0,-0.5,7.3,5.6,,,,,131.0,94.0,136.0,104.0,134.0,100.0,131.0,100.0,,,11.0,253.8,,8.2,35.0,4.993,,,0.653,0.731,0.0,93.9,,,,,,0.0,2026-03-18 16:39:18-07:00
