Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg C),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg C),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Total Fuel Flow (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg C),Thermocouple 2 (deg C),Thermocouple 3 (deg C),Thermocouple 4 (deg C),CHT 4 (deg C),EGT 4 (deg C),CHT 3 (deg C),EGT 3 (deg C),CHT 2 (deg C),EGT 2 (deg C),CHT 1 (deg C),EGT 1 (deg C),Thermocouple 13 (deg C),Thermocouple 14 (deg C),ELEV POSITION (%),CO PPM PRESSURE (PSI),GP Input 3,FUEL PRESSURE (PSI),AILERN POSITION (%),CANOPY CONTACT (V),GP Input 7,GP Input 8,LEFT LEVEL (Sensor V),RIGHT LEVEL (Sensor V),OIL PRESSURE (PSI),OIL TEMPERATURE (deg C),GP Input 13,Contacts,Percent Power,EGT Leaning State,Unnamed: 103,RPM,Flight ID
4.06,1.0,10.0,2026-05-09 19:02:19,37.08171,-121.59966,421.0,0.0,234.1,-12.6,,,,,19:02:19,10.6,-0.5,358.3,0.0,251.0,0.0,-0.01,1.0,,-151.0,24.0,0.0,29.89,1393.0,,,147.0,,100.0,-1000.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,0.0,,,,38.5,0.0,0.0,-0.7,14.7,12.1,,,,,19.0,20.0,19.0,20.0,19.0,20.0,19.0,20.0,,,-27.0,254.5,,0.0,3.0,4.998,,,0.653,0.858,0.0,17.6,,,,,,0.0,2026-05-09 12:02:19-07:00
5.06,1.0,9.0,2026-05-09 19:02:20,37.08172,-121.59965,428.0,0.2,234.1,-12.6,,,,,19:02:19,10.6,-0.5,358.3,0.0,250.0,0.0,-0.01,1.0,99.0,-126.0,24.0,0.0,29.89,1393.0,,,147.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,18.0,0.0,0.0,30.0,0.0,,0.0,0.0,,,38.5,0.0,0.0,-0.7,14.7,12.1,,,,,19.0,20.0,19.0,20.0,19.0,20.0,19.0,20.0,,,-27.0,254.5,,0.0,3.0,4.998,,,0.653,0.858,0.0,17.5,,,,,,0.0,2026-05-09 12:02:19-07:00
6.06,1.0,9.0,2026-05-09 19:02:21,37.08172,-121.59965,428.0,0.0,234.1,-12.6,,,,,19:02:20,10.6,-0.5,358.3,0.0,248.0,0.0,-0.01,1.0,99.0,-141.0,24.0,0.0,29.89,1393.0,,,147.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,18.0,0.0,0.0,30.0,0.0,,0.0,0.0,,,38.5,0.0,0.0,-0.7,14.7,12.1,,,,,19.0,20.0,19.0,20.0,19.0,20.0,19.0,20.0,,,-27.0,254.5,,0.0,3.0,4.998,,,0.653,0.858,0.0,17.5,,,,,,0.0,2026-05-09 12:02:19-07:00
7.06,1.0,9.0,2026-05-09 19:02:22,37.08172,-121.59965,428.0,0.0,234.1,-12.6,,,,,19:02:21,10.6,-0.6,358.2,0.0,244.0,0.0,-0.01,1.0,99.0,-138.0,24.0,0.0,29.89,1391.0,,,147.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,18.0,0.0,0.0,30.0,0.0,,0.0,0.0,,,38.5,0.0,0.0,-0.7,14.7,12.1,,,,,19.0,20.0,19.0,20.0,19.0,20.0,19.0,20.0,,,-27.0,254.5,,0.0,3.0,4.998,,,0.653,0.858,0.0,17.5,,,,,,0.0,2026-05-09 12:02:19-07:00
8.06,1.0,9.0,2026-05-09 19:02:23,37.08172,-121.59965,428.0,0.0,234.1,-12.6,,,,,19:02:22,10.6,-0.5,358.2,0.0,243.0,0.0,-0.01,1.0,99.0,-121.0,24.0,0.0,29.89,1389.0,,,147.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,18.0,0.0,0.0,30.0,0.0,,0.0,0.0,,,38.5,0.0,0.0,-0.7,14.7,12.1,,,,,19.0,20.0,19.0,20.0,19.0,20.0,19.0,21.0,,,-27.0,254.5,,0.0,3.0,4.998,,,0.653,0.858,0.0,17.5,,,,,,0.0,2026-05-09 12:02:19-07:00
9.06,1.0,9.0,2026-05-09 19:02:24,37.08172,-121.59965,429.0,0.0,234.1,-12.6,,,,,19:02:23,10.6,-0.5,358.2,0.0,240.0,0.0,-0.01,1.0,99.0,-141.0,24.0,0.0,29.89,1386.0,,,147.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,18.0,0.0,0.0,30.0,0.0,,0.0,0.0,,,38.5,0.0,0.0,-0.7,14.7,12.1,,,,,19.0,20.0,19.0,20.0,19.0,20.0,19.0,21.0,,,-27.0,254.5,,0.0,3.0,4.998,,,0.654,0.858,0.0,17.5,,,,,,0.0,2026-05-09 12:02:19-07:00
10.06,1.0,9.0,2026-05-09 19:02:25,37.08172,-121.59965,428.0,0.0,234.1,-12.6,,,,,19:02:24,10.5,-0.6,358.2,0.0,238.0,0.0,-0.01,1.0,99.0,-116.0,24.0,0.0,29.89,1383.0,,,147.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,18.0,0.0,0.0,30.0,0.0,,0.0,0.0,,,38.5,0.0,0.0,-0.7,14.7,12.1,,,,,19.0,20.0,19.0,20.0,19.0,20.0,19.0,21.0,,,-27.0,254.5,,0.0,3.0,4.998,,,0.653,0.857,0.0,17.5,,,,,,0.0,2026-05-09 12:02:19-07:00
11.06,1.0,9.0,2026-05-09 19:02:26,37.08171,-121.59964,428.0,0.1,234.1,-12.6,,,,,19:02:25,10.6,-0.6,358.2,0.0,237.0,0.0,-0.01,1.0,99.0,-96.0,24.0,0.0,29.89,1383.0,,,147.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,18.0,0.0,0.0,30.0,0.0,,0.0,0.0,,,38.5,0.0,0.0,-0.7,14.7,12.1,,,,,19.0,20.0,19.0,20.0,19.0,20.0,19.0,21.0,,,-28.0,254.4,,0.0,3.0,4.998,,,0.653,0.858,0.0,17.5,,,,,,0.0,2026-05-09 12:02:19-07:00
12.06,1.0,9.0,2026-05-09 19:02:27,37.08171,-121.59964,428.0,0.0,234.1,-12.6,,,,,19:02:26,10.5,-0.6,358.1,0.0,237.0,0.0,-0.01,1.0,99.0,-57.0,24.0,0.0,29.89,1383.0,,,147.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,18.0,0.0,0.0,30.0,0.0,,0.0,0.0,,,38.5,0.0,0.0,-0.7,14.7,12.1,,,,,19.0,20.0,19.0,20.0,19.0,20.0,19.0,21.0,,,-27.0,254.4,,0.0,3.0,4.998,,,0.654,0.858,0.0,17.5,,,,,,0.0,2026-05-09 12:02:19-07:00
13.06,1.0,9.0,2026-05-09 19:02:28,37.08171,-121.59964,427.0,0.0,234.1,-12.6,,,,,19:02:27,10.5,-0.5,358.2,0.0,237.0,0.0,-0.01,1.0,99.0,-35.0,24.0,0.0,29.89,1382.0,,,147.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,18.0,0.0,0.0,30.0,0.0,,0.0,0.0,,,38.5,0.0,0.0,-0.7,14.7,12.1,,,,,19.0,20.0,19.0,20.0,19.0,20.0,19.0,20.0,,,-28.0,254.4,,0.0,3.0,4.998,,,0.653,0.857,0.0,17.5,,,,,,0.0,2026-05-09 12:02:19-07:00
