Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg C),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg C),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Total Fuel Flow (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg C),Thermocouple 2 (deg C),Thermocouple 3 (deg C),Thermocouple 4 (deg C),CHT 4 (deg C),EGT 4 (deg C),CHT 3 (deg C),EGT 3 (deg C),CHT 2 (deg C),EGT 2 (deg C),CHT 1 (deg C),EGT 1 (deg C),Thermocouple 13 (deg C),Thermocouple 14 (deg C),ELEV POSITION (%),CO PPM PRESSURE (PSI),GP Input 3,FUEL PRESSURE (PSI),AILERN POSITION (%),CANOPY CONTACT (V),GP Input 7,GP Input 8,LEFT LEVEL (Sensor V),RIGHT LEVEL (Sensor V),OIL PRESSURE (PSI),OIL TEMPERATURE (deg C),GP Input 13,Contacts,Percent Power,EGT Leaning State,Unnamed: 103,OAT (deg F),Oil Temp (deg F),Thermocouple 1 (deg F),Thermocouple 2 (deg F),Thermocouple 3 (deg F),Thermocouple 4 (deg F),CHT 4 (deg F),EGT 4 (deg F),CHT 3 (deg F),EGT 3 (deg F),CHT 2 (deg F),EGT 2 (deg F),CHT 1 (deg F),EGT 1 (deg F),Thermocouple 13 (deg F),Thermocouple 14 (deg F),OIL TEMPERATURE (deg F),RPM,AVG_CHT,CHT_Delta_T,OIL_Delta_T,Fuel Flow Integral,Distance Traveled,MPG,CAS (knots),Corrected TAS (knots),Max CHT,Engine Run,Flight ID
0.06,1,8,2026-09-07 22:44:49,37.08158,-121.59963,402.0,0.0,115.2,-12.7,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,106,0.0,128.0,600.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,40.7,35.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,89.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.6,-89.6,0.0,0.0,0.0,0.48,0.49,410.0,True,2026-09-07 15:44:49-07:00
1.06,1,8,2026-09-07 22:44:50,37.08162,-121.59962,328.0,0.0,115.2,-12.6,0.0,,0.0,0.0,0.0,10.5,-1.9,38.6,0.0,326.0,0.0,-0.03,1.0,0.0,-68.0,32,0.0,29.98,2469.0,0.0,0.0,106,0.0,128.0,600.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,-0.1,40.7,35.4,0.0,0.0,0.0,0.0,28.0,29.0,28.0,29.0,28.0,29.0,29.0,30.0,0.0,0.0,-31.0,253.9,0.0,0.5,2.0,4.998,0.0,0.0,1.576,1.606,0.0,116.7,0.0,0.0,0.0,,0.0,89.6,0.0,0.0,0.0,0.0,0.0,82.4,84.2,82.4,84.2,82.4,84.2,84.2,86.0,0.0,0.0,242.06,0.0,82.85000000000001,-6.749999999999986,152.46,0.0,0.0,0.0,0.48,0.5,410.0,True,2026-09-07 15:44:49-07:00
2.06,1,8,2026-09-07 22:44:51,37.08163,-121.59962,324.0,0.0,115.2,-12.6,0.0,,0.0,0.0,0.0,10.5,-1.8,38.6,0.0,326.0,0.0,-0.03,1.0,0.0,-47.0,32,0.0,29.98,2470.0,0.0,0.0,106,0.0,128.0,600.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,-0.1,40.7,35.4,0.0,0.0,0.0,0.0,28.0,29.0,28.0,29.0,28.0,29.0,29.0,30.0,0.0,0.0,-30.0,253.9,0.0,0.5,2.0,4.998,0.0,0.0,1.576,1.606,0.0,116.7,0.0,0.0,0.0,,0.0,89.6,0.0,0.0,0.0,0.0,0.0,82.4,84.2,82.4,84.2,82.4,84.2,84.2,86.0,0.0,0.0,242.06,0.0,82.85000000000001,-6.749999999999986,152.46,0.0,0.0,0.0,0.48,0.5,410.0,True,2026-09-07 15:44:49-07:00
3.06,1,8,2026-09-07 22:44:52,37.08163,-121.59962,320.0,0.0,115.2,-12.6,0.0,,0.0,0.0,0.0,10.5,-1.9,38.6,0.0,326.0,0.1,-0.03,1.0,0.0,-42.0,33,0.0,29.98,2470.0,0.0,0.0,106,0.0,128.0,600.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,-0.1,40.7,35.4,0.0,0.0,0.0,0.0,28.0,29.0,28.0,30.0,28.0,29.0,29.0,30.0,0.0,0.0,-30.0,253.9,0.0,0.5,2.0,4.998,0.0,0.0,1.576,1.608,0.0,27.6,0.0,0.0,0.0,,0.0,91.4,0.0,0.0,0.0,0.0,0.0,82.4,84.2,82.4,86.0,82.4,84.2,84.2,86.0,0.0,0.0,81.68,0.0,82.85000000000001,-8.549999999999997,-9.719999999999999,0.0,0.0,0.0,0.48,0.5,410.0,True,2026-09-07 15:44:49-07:00
4.06,1,8,2026-09-07 22:44:53,37.08164,-121.59962,315.0,0.1,115.2,-12.6,0.0,,0.0,0.0,0.0,10.5,-1.9,38.6,0.0,325.0,0.0,-0.03,1.0,0.0,-37.0,33,0.0,29.98,2470.0,0.0,0.0,106,0.0,128.0,600.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,-0.1,40.7,35.4,0.0,0.0,0.0,0.0,28.0,29.0,28.0,30.0,28.0,29.0,29.0,30.0,0.0,0.0,-31.0,253.9,0.0,0.5,2.0,4.998,0.0,0.0,1.576,1.608,0.0,27.5,0.0,0.0,0.0,,0.0,91.4,0.0,0.0,0.0,0.0,0.0,82.4,84.2,82.4,86.0,82.4,84.2,84.2,86.0,0.0,0.0,81.5,0.0,82.85000000000001,-8.549999999999997,-9.900000000000006,0.0,0.08433333333333329,0.0,0.48,0.5,410.0,True,2026-09-07 15:44:49-07:00
5.06,1,8,2026-09-07 22:44:54,37.08164,-121.59962,313.0,0.0,115.2,-12.6,0.0,,0.0,0.0,0.0,10.6,-1.9,38.6,0.0,324.0,0.0,-0.03,1.0,99.0,-43.0,33,0.0,29.98,2478.0,0.0,0.0,106,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,29.9,0.0,0.0,0.0,0.5,0.0,0.0,13.0,0.0,0.0,-0.1,40.7,35.4,0.0,0.0,0.0,0.0,28.0,29.0,28.0,29.0,28.0,29.0,29.0,30.0,0.0,0.0,-31.0,253.9,0.0,0.5,2.0,4.998,0.0,0.0,1.576,1.608,0.0,27.5,0.0,0.0,0.0,,0.0,91.4,80.6,0.0,0.0,0.0,0.0,82.4,84.2,82.4,84.2,82.4,84.2,84.2,86.0,0.0,0.0,81.5,0.0,82.85000000000001,-8.549999999999997,-9.900000000000006,0.0,0.16866666666666663,0.0,0.48,0.5,410.0,True,2026-09-07 15:44:49-07:00
6.06,1,8,2026-09-07 22:44:55,37.08164,-121.59962,311.0,0.0,115.2,-12.6,0.0,,0.0,0.0,0.0,10.6,-1.9,38.6,0.0,322.0,0.0,-0.03,1.0,99.0,-67.0,33,0.0,29.98,2478.0,0.0,0.0,106,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,29.9,0.0,0.0,0.0,0.5,0.0,0.0,13.0,0.0,0.0,-0.1,40.7,35.4,0.0,0.0,0.0,0.0,28.0,29.0,28.0,30.0,28.0,29.0,29.0,30.0,0.0,0.0,-29.0,253.9,0.0,0.5,2.0,4.998,0.0,0.0,1.576,1.608,0.0,27.4,0.0,0.0,0.0,,0.0,91.4,80.6,0.0,0.0,0.0,0.0,82.4,84.2,82.4,86.0,82.4,84.2,84.2,86.0,0.0,0.0,81.32,0.0,82.85000000000001,-8.549999999999997,-10.080000000000013,0.0,0.16866666666666663,0.0,0.48,0.5,410.0,True,2026-09-07 15:44:49-07:00
7.06,1,8,2026-09-07 22:44:56,37.08164,-121.59962,309.0,0.0,115.2,-12.6,0.0,,0.0,0.0,0.0,10.5,-1.9,38.5,0.0,320.0,0.0,-0.03,1.0,99.0,-79.0,33,0.0,29.98,2478.0,0.0,0.0,106,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,29.9,0.0,0.0,0.0,0.5,0.0,0.0,13.0,0.0,0.0,-0.1,40.7,35.4,0.0,0.0,0.0,0.0,28.0,29.0,28.0,30.0,28.0,29.0,29.0,30.0,0.0,0.0,-28.0,253.9,0.0,0.5,2.0,4.998,0.0,0.0,1.576,1.608,0.0,27.4,0.0,0.0,0.0,,0.0,91.4,80.6,0.0,0.0,0.0,0.0,82.4,84.2,82.4,86.0,82.4,84.2,84.2,86.0,0.0,0.0,81.32,0.0,82.85000000000001,-8.549999999999997,-10.080000000000013,0.0,0.16866666666666663,0.0,0.48,0.5,410.0,True,2026-09-07 15:44:49-07:00
8.06,1,8,2026-09-07 22:44:57,37.08164,-121.59961,308.0,0.0,115.2,-12.6,0.0,,0.0,0.0,0.0,10.6,-1.9,38.6,0.0,319.0,0.1,-0.03,1.0,99.0,-77.0,33,0.0,29.98,2472.0,0.0,0.0,106,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,29.9,0.0,0.0,0.0,0.5,0.0,0.0,13.0,0.0,0.0,-0.1,40.7,35.4,0.0,0.0,0.0,0.0,28.0,29.0,28.0,29.0,28.0,29.0,29.0,30.0,0.0,0.0,-27.0,253.9,0.0,0.5,2.0,4.998,0.0,0.0,1.576,1.608,0.0,27.4,0.0,0.0,0.0,,0.0,91.4,80.6,0.0,0.0,0.0,0.0,82.4,84.2,82.4,84.2,82.4,84.2,84.2,86.0,0.0,0.0,81.32,0.0,82.85000000000001,-8.549999999999997,-10.080000000000013,0.0,0.16866666666666663,0.0,0.48,0.5,410.0,True,2026-09-07 15:44:49-07:00
9.06,1,8,2026-09-07 22:44:58,37.08164,-121.59961,308.0,0.0,115.2,-12.6,0.0,,0.0,0.0,0.0,10.6,-1.8,38.6,0.0,319.0,0.1,-0.03,1.0,99.0,-41.0,33,0.0,29.98,2472.0,0.0,0.0,106,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,29.9,0.0,0.0,0.0,0.5,0.0,0.0,13.0,0.0,0.0,-0.1,40.7,35.4,0.0,0.0,0.0,0.0,28.0,29.0,28.0,30.0,28.0,29.0,29.0,30.0,0.0,0.0,-27.0,253.9,0.0,0.5,2.0,4.998,0.0,0.0,1.576,1.608,0.0,27.3,0.0,0.0,0.0,,0.0,91.4,80.6,0.0,0.0,0.0,0.0,82.4,84.2,82.4,86.0,82.4,84.2,84.2,86.0,0.0,0.0,81.14,0.0,82.85000000000001,-8.549999999999997,-10.260000000000005,0.0,0.16866666666666663,0.0,0.48,0.5,410.0,True,2026-09-07 15:44:49-07:00
