Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg C),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg C),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Total Fuel Flow (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg C),Thermocouple 2 (deg C),Thermocouple 3 (deg C),Thermocouple 4 (deg C),CHT 4 (deg C),EGT 4 (deg C),CHT 3 (deg C),EGT 3 (deg C),CHT 2 (deg C),EGT 2 (deg C),CHT 1 (deg C),EGT 1 (deg C),Thermocouple 13 (deg C),Thermocouple 14 (deg C),ELEV POSITION (%),CO PPM PRESSURE (PSI),GP Input 3,FUEL PRESSURE (PSI),AILERN POSITION (%),CANOPY CONTACT (V),GP Input 7,GP Input 8,LEFT LEVEL (Sensor V),RIGHT LEVEL (Sensor V),OIL PRESSURE (PSI),OIL TEMPERATURE (deg C),GP Input 13,Contacts,Percent Power,EGT Leaning State,Unnamed: 103,OAT (deg F),Oil Temp (deg F),Thermocouple 1 (deg F),Thermocouple 2 (deg F),Thermocouple 3 (deg F),Thermocouple 4 (deg F),CHT 4 (deg F),EGT 4 (deg F),CHT 3 (deg F),EGT 3 (deg F),CHT 2 (deg F),EGT 2 (deg F),CHT 1 (deg F),EGT 1 (deg F),Thermocouple 13 (deg F),Thermocouple 14 (deg F),OIL TEMPERATURE (deg F),RPM,AVG_CHT,CHT_Delta_T,OIL_Delta_T,Fuel Flow Integral,Distance Traveled,MPG,Max CHT,Engine Run,Flight ID
7.06,0.0,0.0,2026-06-13 16:24:02,37.08155,-121.59949,0.0,0.0,73.1,-17.1,0.0,,0.0,0.0,0.0,10.8,-1.1,14.3,0.0,320.0,0.0,-0.02,1.0,99.0,-79.0,20.0,0.0,29.92,934.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,-0.8,21.4,18.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0,20.0,19.0,19.0,19.0,20.0,0.0,0.0,-24.0,254.5,0.0,0.0,0.0,4.998,0.0,0.0,1.525,1.816,0.0,18.4,0.0,0.0,0.0,,0.0,68.0,64.4,0.0,0.0,0.0,0.0,66.2,66.2,66.2,68.0,66.2,66.2,66.2,68.0,0.0,0.0,65.12,0.0,66.2,-1.7999999999999972,-2.8799999999999955,0.0,0.0,0.0,390.2,True,2026-06-13 09:24:02-07:00
8.06,1.0,8.0,2026-06-13 16:24:03,37.08156,-121.59955,363.0,0.0,73.1,-12.6,0.0,,0.0,0.0,0.0,10.8,-1.2,14.3,0.0,319.0,0.0,-0.02,1.0,99.0,-57.0,20.0,0.0,29.92,937.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,-0.8,21.4,18.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0,20.0,19.0,19.0,19.0,20.0,0.0,0.0,-24.0,254.5,0.0,0.0,0.0,4.998,0.0,0.0,1.525,1.818,0.0,18.4,0.0,0.0,0.0,,0.0,68.0,64.4,0.0,0.0,0.0,0.0,66.2,66.2,66.2,68.0,66.2,66.2,66.2,68.0,0.0,0.0,65.12,0.0,66.2,-1.7999999999999972,-2.8799999999999955,0.0,0.0,0.0,390.2,True,2026-06-13 09:24:02-07:00
9.06,1.0,8.0,2026-06-13 16:24:04,37.08158,-121.59957,325.0,0.0,73.1,-12.6,0.0,,0.0,0.0,0.0,10.8,-1.2,14.2,0.0,319.0,0.0,-0.02,1.0,99.0,-18.0,20.0,0.0,29.92,937.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,-0.8,21.4,18.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0,20.0,19.0,19.0,19.0,20.0,0.0,0.0,-24.0,254.5,0.0,0.0,0.0,4.998,0.0,0.0,1.525,1.82,0.0,18.4,0.0,0.0,0.0,,0.0,68.0,64.4,0.0,0.0,0.0,0.0,66.2,66.2,66.2,68.0,66.2,66.2,66.2,68.0,0.0,0.0,65.12,0.0,66.2,-1.7999999999999972,-2.8799999999999955,0.0,0.0,0.0,390.2,True,2026-06-13 09:24:02-07:00
10.06,1.0,8.0,2026-06-13 16:24:05,37.08158,-121.59957,325.0,0.0,73.1,-12.6,0.0,,0.0,0.0,0.0,10.8,-1.2,14.1,0.0,319.0,0.0,-0.02,1.0,99.0,-20.0,20.0,0.0,29.92,937.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,-0.8,21.4,18.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0,20.0,19.0,19.0,19.0,20.0,0.0,0.0,-24.0,254.5,0.0,0.0,0.0,4.998,0.0,0.0,1.525,1.824,0.0,18.4,0.0,0.0,0.0,,0.0,68.0,64.4,0.0,0.0,0.0,0.0,66.2,66.2,66.2,68.0,66.2,66.2,66.2,68.0,0.0,0.0,65.12,0.0,66.2,-1.7999999999999972,-2.8799999999999955,0.0,0.0,0.0,390.2,True,2026-06-13 09:24:02-07:00
11.06,1.0,8.0,2026-06-13 16:24:06,37.08157,-121.59959,325.0,0.0,73.1,-12.6,0.0,,0.0,0.0,0.0,10.8,-1.2,14.1,0.0,319.0,0.0,-0.02,1.0,99.0,-28.0,20.0,0.0,29.92,938.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,-0.8,21.4,18.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0,20.0,19.0,19.0,19.0,20.0,0.0,0.0,-24.0,254.5,0.0,0.0,0.0,4.998,0.0,0.0,1.525,1.825,0.0,18.4,0.0,0.0,0.0,,0.0,68.0,64.4,0.0,0.0,0.0,0.0,66.2,66.2,66.2,68.0,66.2,66.2,66.2,68.0,0.0,0.0,65.12,0.0,66.2,-1.7999999999999972,-2.8799999999999955,0.0,0.0,0.0,390.2,True,2026-06-13 09:24:02-07:00
12.06,1.0,9.0,2026-06-13 16:24:07,37.08156,-121.59962,286.0,0.0,73.1,-12.6,0.0,,0.0,0.0,0.0,10.8,-1.2,14.1,0.0,318.0,0.0,-0.02,1.0,99.0,-6.0,20.0,0.0,29.92,938.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,-0.8,21.4,18.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0,20.0,19.0,19.0,19.0,20.0,0.0,0.0,-24.0,254.5,0.0,0.0,0.0,4.998,0.0,0.0,1.525,1.825,0.0,18.4,0.0,0.0,0.0,,0.0,68.0,64.4,0.0,0.0,0.0,0.0,66.2,66.2,66.2,68.0,66.2,66.2,66.2,68.0,0.0,0.0,65.12,0.0,66.2,-1.7999999999999972,-2.8799999999999955,0.0,0.0,0.0,390.2,True,2026-06-13 09:24:02-07:00
13.06,1.0,9.0,2026-06-13 16:24:08,37.08156,-121.59962,287.0,0.0,73.1,-12.6,0.0,,0.0,0.0,0.0,10.8,-1.2,14.1,0.0,318.0,0.0,-0.02,1.0,99.0,8.0,20.0,0.0,29.92,938.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,-0.8,21.4,18.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0,20.0,19.0,19.0,19.0,20.0,0.0,0.0,-24.0,254.5,0.0,0.0,0.0,4.998,0.0,0.0,1.525,1.824,0.0,18.4,0.0,0.0,0.0,,0.0,68.0,64.4,0.0,0.0,0.0,0.0,66.2,66.2,66.2,68.0,66.2,66.2,66.2,68.0,0.0,0.0,65.12,0.0,66.2,-1.7999999999999972,-2.8799999999999955,0.0,0.0,0.0,390.2,True,2026-06-13 09:24:02-07:00
14.06,1.0,9.0,2026-06-13 16:24:09,37.08156,-121.59962,289.0,0.0,73.1,-12.6,0.0,,0.0,0.0,0.0,10.7,-1.1,14.1,0.0,318.0,0.0,-0.02,1.0,99.0,-28.0,20.0,0.0,29.92,937.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,-0.8,21.4,18.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0,20.0,19.0,19.0,19.0,20.0,0.0,0.0,-24.0,254.5,0.0,0.0,0.0,4.998,0.0,0.0,1.525,1.827,0.0,18.4,0.0,0.0,0.0,,0.0,68.0,64.4,0.0,0.0,0.0,0.0,66.2,66.2,66.2,68.0,66.2,66.2,66.2,68.0,0.0,0.0,65.12,0.0,66.2,-1.7999999999999972,-2.8799999999999955,0.0,0.0,0.0,390.2,True,2026-06-13 09:24:02-07:00
15.06,1.0,9.0,2026-06-13 16:24:10,37.08156,-121.59961,290.0,0.1,73.1,-12.6,0.0,,0.0,0.0,0.0,10.7,-1.1,14.2,0.0,317.0,0.0,-0.01,1.0,99.0,-51.0,20.0,0.0,29.92,937.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,-0.8,21.4,18.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0,20.0,19.0,19.0,19.0,20.0,0.0,0.0,-24.0,254.5,0.0,0.0,0.0,4.998,0.0,0.0,1.525,1.836,0.0,18.4,0.0,0.0,0.0,,0.0,68.0,64.4,0.0,0.0,0.0,0.0,66.2,66.2,66.2,68.0,66.2,66.2,66.2,68.0,0.0,0.0,65.12,0.0,66.2,-1.7999999999999972,-2.8799999999999955,0.0,0.08433333333333333,0.0,390.2,True,2026-06-13 09:24:02-07:00
16.06,1.0,9.0,2026-06-13 16:24:11,37.08156,-121.59961,291.0,0.0,73.1,-12.6,0.0,,0.0,0.0,0.0,10.7,-1.1,14.2,0.0,317.0,0.0,-0.02,1.0,99.0,-59.0,20.0,0.0,29.92,937.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,-0.8,21.4,18.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0,20.0,19.0,19.0,19.0,20.0,0.0,0.0,-24.0,254.5,0.0,0.0,0.0,4.998,0.0,0.0,1.525,1.855,0.0,18.4,0.0,0.0,0.0,,0.0,68.0,64.4,0.0,0.0,0.0,0.0,66.2,66.2,66.2,68.0,66.2,66.2,66.2,68.0,0.0,0.0,65.12,0.0,66.2,-1.7999999999999972,-2.8799999999999955,0.0,0.16866666666666652,0.0,390.2,True,2026-06-13 09:24:02-07:00
