Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg C),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg C),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Total Fuel Flow (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg C),Thermocouple 2 (deg C),Thermocouple 3 (deg C),Thermocouple 4 (deg C),CHT 4 (deg C),EGT 4 (deg C),CHT 3 (deg C),EGT 3 (deg C),CHT 2 (deg C),EGT 2 (deg C),CHT 1 (deg C),EGT 1 (deg C),Thermocouple 13 (deg C),Thermocouple 14 (deg C),ELEV POSITION (%),CO PPM PRESSURE (PSI),GP Input 3,FUEL PRESSURE (PSI),AILERN POSITION (%),CANOPY CONTACT (V),GP Input 7,GP Input 8,LEFT LEVEL (Sensor V),RIGHT LEVEL (Sensor V),OIL PRESSURE (PSI),OIL TEMPERATURE (deg C),GP Input 13,Contacts,Percent Power,EGT Leaning State,Unnamed: 103,OAT (deg F),Oil Temp (deg F),Thermocouple 1 (deg F),Thermocouple 2 (deg F),Thermocouple 3 (deg F),Thermocouple 4 (deg F),CHT 4 (deg F),EGT 4 (deg F),CHT 3 (deg F),EGT 3 (deg F),CHT 2 (deg F),EGT 2 (deg F),CHT 1 (deg F),EGT 1 (deg F),Thermocouple 13 (deg F),Thermocouple 14 (deg F),OIL TEMPERATURE (deg F),RPM,AVG_CHT,CHT_Delta_T,OIL_Delta_T,Fuel Flow Integral,Distance Traveled,MPG,Max CHT,Engine Run,Flight ID,CAS (knots),Corrected TAS (knots)
11.06,1,9,2026-07-16 02:23:48,37.08189,-121.5998,471.0,0.0,65.9,-12.6,0.0,,0.0,0.0,0.0,10.9,-0.1,38.2,0.0,337.0,0.0,-0.0,1.0,99.0,-41.0,31,0.0,30.02,2312.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,29.9,0.0,0.0,0.0,0.8,0.0,0.0,12.7,0.0,0.0,-0.2,33.3,29.0,0.0,0.0,0.0,0.0,35.0,35.0,34.0,34.0,35.0,35.0,33.0,34.0,0.0,0.0,-46.0,254.2,0.0,0.8,13.0,4.998,0.0,0.0,1.626,1.713,0.0,34.6,0.0,0.0,0.0,,0.0,87.8,95.0,32.0,32.0,32.0,32.0,95.0,95.0,93.2,93.2,95.0,95.0,91.4,93.2,32.0,32.0,94.28,0.0,93.65,5.8500000000000085,6.480000000000004,0.0,0.0,0.0,413.6,True,2026-07-15 19:23:48-07:00,0.48,0.5
12.06,1,9,2026-07-16 02:23:49,37.08184,-121.59983,394.0,0.0,65.9,-12.6,0.0,,0.0,0.0,0.0,11.0,-0.1,38.2,0.0,336.0,0.1,-0.0,1.0,99.0,-72.0,31,0.0,30.02,2308.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,29.9,0.0,0.0,0.0,0.8,0.0,0.0,12.7,0.0,0.0,-0.2,33.3,29.0,0.0,0.0,0.0,0.0,35.0,35.0,34.0,34.0,35.0,35.0,33.0,34.0,0.0,0.0,-46.0,254.2,0.0,0.8,13.0,4.998,0.0,0.0,1.626,1.713,0.0,34.5,0.0,0.0,0.0,,0.0,87.8,95.0,32.0,32.0,32.0,32.0,95.0,95.0,93.2,93.2,95.0,95.0,91.4,93.2,32.0,32.0,94.1,0.0,93.65,5.8500000000000085,6.299999999999997,0.0,0.0,0.0,413.6,True,2026-07-15 19:23:48-07:00,0.48,0.5
13.06,1,9,2026-07-16 02:23:50,37.08184,-121.59983,392.0,0.1,65.9,-12.6,0.0,,0.0,0.0,0.0,11.0,-0.2,38.2,0.0,336.0,0.0,-0.0,1.0,99.0,-53.0,31,0.0,30.02,2308.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,29.9,0.0,0.0,0.0,0.8,0.0,0.0,12.7,0.0,0.0,-0.2,33.3,29.0,0.0,0.0,0.0,0.0,35.0,35.0,34.0,34.0,35.0,35.0,33.0,34.0,0.0,0.0,-46.0,254.2,0.0,0.8,13.0,4.998,0.0,0.0,1.626,1.713,0.0,34.5,0.0,0.0,0.0,,0.0,87.8,95.0,32.0,32.0,32.0,32.0,95.0,95.0,93.2,93.2,95.0,95.0,91.4,93.2,32.0,32.0,94.1,0.0,93.65,5.8500000000000085,6.299999999999997,0.0,0.08433333333333333,0.0,413.6,True,2026-07-15 19:23:48-07:00,0.48,0.5
14.06,1,9,2026-07-16 02:23:51,37.08184,-121.59983,391.0,0.0,65.9,-12.6,0.0,,0.0,0.0,0.0,11.1,-0.2,38.2,0.0,335.0,0.1,-0.0,1.0,99.0,-68.0,31,0.0,30.02,2308.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,29.9,0.0,0.0,0.0,0.8,0.0,0.0,12.7,0.0,0.0,-0.2,33.3,29.0,0.0,0.0,0.0,0.0,35.0,35.0,34.0,34.0,35.0,35.0,33.0,34.0,0.0,0.0,-46.0,254.2,0.0,0.8,13.0,4.998,0.0,0.0,1.626,1.713,0.0,34.5,0.0,0.0,0.0,,0.0,87.8,95.0,32.0,32.0,32.0,32.0,95.0,95.0,93.2,93.2,95.0,95.0,91.4,93.2,32.0,32.0,94.1,0.0,93.65,5.8500000000000085,6.299999999999997,0.0,0.16866666666666666,0.0,413.6,True,2026-07-15 19:23:48-07:00,0.48,0.5
15.06,1,9,2026-07-16 02:23:52,37.08184,-121.59983,391.0,0.0,65.9,-12.6,0.0,,0.0,0.0,0.0,11.1,-0.2,38.1,0.0,333.0,0.1,-0.0,1.0,99.0,-89.0,31,0.0,30.02,2304.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,29.9,0.0,0.0,0.0,0.8,0.0,0.0,12.7,0.0,0.0,-0.2,33.3,29.0,0.0,0.0,0.0,0.0,35.0,35.0,34.0,34.0,35.0,35.0,33.0,33.0,0.0,0.0,-46.0,254.2,0.0,0.8,13.0,4.998,0.0,0.0,1.626,1.713,0.0,34.5,0.0,0.0,0.0,,0.0,87.8,93.2,32.0,32.0,32.0,32.0,95.0,95.0,93.2,93.2,95.0,95.0,91.4,91.4,32.0,32.0,94.1,0.0,93.65,5.8500000000000085,6.299999999999997,0.0,0.16866666666666666,0.0,413.6,True,2026-07-15 19:23:48-07:00,0.48,0.5
16.06,1,9,2026-07-16 02:23:53,37.08183,-121.59983,391.0,0.0,65.9,-12.6,0.0,,0.0,0.0,0.0,11.1,-0.2,38.1,0.0,332.0,0.0,-0.0,1.0,99.0,-94.0,31,0.0,30.02,2304.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,29.9,0.0,0.0,0.0,0.8,0.0,0.0,12.7,0.0,0.0,-0.2,33.3,29.0,0.0,0.0,0.0,0.0,35.0,35.0,34.0,34.0,35.0,35.0,33.0,34.0,0.0,0.0,-47.0,254.2,0.0,0.8,13.0,4.998,0.0,0.0,1.626,1.713,0.0,34.5,0.0,0.0,0.0,,0.0,87.8,93.2,32.0,32.0,32.0,32.0,95.0,95.0,93.2,93.2,95.0,95.0,91.4,93.2,32.0,32.0,94.1,0.0,93.65,5.8500000000000085,6.299999999999997,0.0,0.16866666666666666,0.0,413.6,True,2026-07-15 19:23:48-07:00,0.48,0.5
17.06,1,9,2026-07-16 02:23:54,37.08183,-121.59982,391.0,0.0,65.9,-12.6,0.0,,0.0,0.0,0.0,11.1,-0.2,38.1,0.0,330.0,0.0,-0.0,1.0,99.0,-115.0,31,0.0,30.02,2304.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,29.9,0.0,0.0,0.0,0.8,0.0,0.0,12.7,0.0,0.0,-0.2,33.3,29.0,0.0,0.0,0.0,0.0,35.0,35.0,34.0,34.0,35.0,35.0,33.0,34.0,0.0,0.0,-47.0,254.2,0.0,0.8,13.0,4.998,0.0,0.0,1.626,1.713,0.0,34.5,0.0,0.0,0.0,,0.0,87.8,93.2,32.0,32.0,32.0,32.0,95.0,95.0,93.2,93.2,95.0,95.0,91.4,93.2,32.0,32.0,94.1,0.0,93.65,5.8500000000000085,6.299999999999997,0.0,0.16866666666666666,0.0,413.6,True,2026-07-15 19:23:48-07:00,0.48,0.5
18.06,1,9,2026-07-16 02:23:55,37.08183,-121.59982,392.0,0.0,65.9,-12.6,0.0,,0.0,0.0,0.0,11.0,-0.2,38.0,0.0,327.0,0.0,-0.0,1.0,99.0,-133.0,31,0.0,30.02,2297.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,29.9,0.0,0.0,0.0,0.8,0.0,0.0,12.7,0.0,0.0,-0.2,33.3,29.0,0.0,0.0,0.0,0.0,35.0,35.0,34.0,34.0,35.0,35.0,33.0,34.0,0.0,0.0,-47.0,254.2,0.0,0.8,13.0,4.998,0.0,0.0,1.626,1.713,0.0,34.5,0.0,0.0,0.0,,0.0,87.8,93.2,32.0,32.0,32.0,32.0,95.0,95.0,93.2,93.2,95.0,95.0,91.4,93.2,32.0,32.0,94.1,0.0,93.65,5.8500000000000085,6.299999999999997,0.0,0.16866666666666666,0.0,413.6,True,2026-07-15 19:23:48-07:00,0.48,0.5
19.06,1,9,2026-07-16 02:23:56,37.08183,-121.59982,392.0,0.0,65.9,-12.6,0.0,,0.0,0.0,0.0,11.0,-0.2,38.1,0.0,324.0,0.0,-0.0,1.0,99.0,-168.0,31,0.0,30.02,2297.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,29.9,0.0,0.0,0.0,0.8,0.0,0.0,12.7,0.0,0.0,-0.2,33.3,29.0,0.0,0.0,0.0,0.0,35.0,35.0,34.0,34.0,35.0,35.0,33.0,33.0,0.0,0.0,-47.0,254.2,0.0,0.8,13.0,4.998,0.0,0.0,1.626,1.713,0.0,34.4,0.0,0.0,0.0,,0.0,87.8,93.2,32.0,32.0,32.0,32.0,95.0,95.0,93.2,93.2,95.0,95.0,91.4,91.4,32.0,32.0,93.91999999999999,0.0,93.65,5.8500000000000085,6.11999999999999,0.0,0.16866666666666666,0.0,413.6,True,2026-07-15 19:23:48-07:00,0.48,0.5
20.06,1,9,2026-07-16 02:23:57,37.08183,-121.59982,392.0,0.0,65.9,-12.6,0.0,,0.0,0.0,0.0,11.0,-0.2,38.1,0.0,322.0,0.1,-0.0,1.0,99.0,-141.0,31,0.0,30.02,2297.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,29.9,0.0,0.0,0.0,0.8,0.0,0.0,12.7,0.0,0.0,-0.2,33.3,29.0,0.0,0.0,0.0,0.0,35.0,35.0,34.0,34.0,35.0,35.0,33.0,34.0,0.0,0.0,-47.0,254.2,0.0,0.8,13.0,4.998,0.0,0.0,1.626,1.713,0.0,34.4,0.0,0.0,0.0,,0.0,87.8,93.2,32.0,32.0,32.0,32.0,95.0,95.0,93.2,93.2,95.0,95.0,91.4,93.2,32.0,32.0,93.91999999999999,0.0,93.65,5.8500000000000085,6.11999999999999,0.0,0.16866666666666666,0.0,413.6,True,2026-07-15 19:23:48-07:00,0.48,0.5
